time,rov_id,t_sent,t_received,x,y,z,channels,rssi,azimuth,elevation
1700000040.0,1,1700000040000000,1700000040014233,0.0,0.0,8.027685532292942,0,array('h'),252.635121181847,19.18136781562404
1700000041.0,1,1700000041000000,1700000041013875,0.0,0.0,8.000898283106316,0,array('h'),255.255935024733,21.449795393752293
1700000042.0,1,1700000042000000,1700000042013068,0.0,0.0,8.04887278108514,0,array('h'),258.73897244961285,22.383227255032114
1700000043.0,1,1700000043000000,1700000043013126,0.0,0.0,8.57195094357895,0,array('h'),262.86717058107917,22.957606882568257
1700000044.0,1,1700000044000000,1700000044012357,0.0,0.0,8.614577765025844,0,array('h'),268.8442378675715,24.678880044169233
1700000045.0,1,1700000045000000,1700000045011906,0.0,0.0,8.792492985757368,0,array('h'),273.0869815285524,25.82171918610288
1700000046.0,1,1700000046000000,1700000046011001,0.0,0.0,8.814036758519125,0,array('h'),278.42769589495254,27.317481159608253
1700000047.0,1,1700000047000000,1700000047010348,0.0,0.0,8.710928324195743,0,array('h'),283.553357566361,27.7980590019537
1700000048.0,1,1700000048000000,1700000048009727,0.0,0.0,8.935828593111035,0,array('h'),288.65485083547856,30.058932858158336
1700000049.0,1,1700000049000000,1700000049009868,0.0,0.0,8.698709205698822,0,array('h'),295.71758620228013,32.201053097762944
1700000050.0,1,1700000050000000,1700000050010156,0.0,0.0,9.566276778438759,0,array('h'),302.2985817052452,32.841274842799336
1700000051.0,1,1700000051000000,1700000051009816,0.0,0.0,9.273237746333375,0,array('h'),309.5980970452589,34.90093841887804
1700000052.0,1,1700000052000000,1700000052009631,0.0,0.0,8.865884175976959,0,array('h'),315.8726295649066,33.03051182843284
1700000053.0,1,1700000053000000,1700000053009777,0.0,0.0,9.66804823851612,0,array('h'),322.0382602519184,33.81239784443662
1700000054.0,1,1700000054000000,1700000054009712,0.0,0.0,9.625956817550524,0,array('h'),329.6235287261409,35.752686416389686
1700000055.0,1,1700000055000000,1700000055010553,0.0,0.0,9.57819464720301,0,array('h'),335.1749546453384,32.9125980016462
1700000056.0,1,1700000056000000,1700000056010322,0.0,0.0,9.453625213764001,0,array('h'),342.66502956422056,34.08460358179585
1700000057.0,1,1700000057000000,1700000057010294,0.0,0.0,9.500514372629667,0,array('h'),348.0845354832412,32.398053708055315
1700000058.0,1,1700000058000000,1700000058010444,0.0,0.0,9.248465483840684,0,array('h'),355.40487034276697,32.34379944955141
1700000059.0,1,1700000059000000,1700000059011637,0.0,0.0,10.093828368191097,0,array('h'),359.88538865859573,31.83544552776751
1700000060.0,1,1700000060000000,1700000060011927,0.0,0.0,10.117051911826765,0,array('h'),5.8573711394410415,30.43552627157952
1700000061.0,1,1700000061000000,1700000061011489,0.0,0.0,9.398905390509318,0,array('h'),9.667464242837049,29.860553254203282
1700000062.0,1,1700000062000000,1700000062012640,0.0,0.0,10.684579209773336,0,array('h'),10.736174039722782,28.15356385719405
1700000063.0,1,1700000063000000,1700000063013358,0.0,0.0,10.009436821570562,0,array('h'),16.31207687923183,28.960887624030523
1700000064.0,1,1700000064000000,1700000064013149,0.0,0.0,10.423024407395165,0,array('h'),21.287177396438814,29.626982676370712
1700000065.0,1,1700000065000000,1700000065013363,0.0,0.0,10.41570163462512,0,array('h'),23.872920352662437,26.113805310461395
1700000066.0,1,1700000066000000,1700000066014347,0.0,0.0,10.559608630778449,0,array('h'),26.547626897272586,27.593364758715612
1700000067.0,1,1700000067000000,1700000067014107,0.0,0.0,10.502402996510748,0,array('h'),27.40638082483195,24.961974961254615
1700000068.0,1,1700000068000000,1700000068013975,0.0,0.0,10.949522165768146,0,array('h'),31.803749833938717,27.095888240068174
1700000069.0,1,1700000069000000,1700000069014812,0.0,0.0,10.857109438851788,0,array('h'),36.497695441056855,25.94548886190316
1700000070.0,1,1700000070000000,1700000070015386,0.0,0.0,10.618561753685007,0,array('h'),38.748677691067876,23.77702506891209
1700000071.0,1,1700000071000000,1700000071016144,0.0,0.0,10.49875835583713,0,array('h'),40.61814973193508,25.249848323501123
1700000072.0,1,1700000072000000,1700000072016081,0.0,0.0,10.99759592751931,0,array('h'),42.546612979998166,24.338856401159116
1700000073.0,1,1700000073000000,1700000073016138,0.0,0.0,11.258929349919688,0,array('h'),45.609558166619955,21.187764272310993
1700000074.0,1,1700000074000000,1700000074017343,0.0,0.0,10.949777151068233,0,array('h'),47.12663705069099,23.41483669936687
1700000075.0,1,1700000075000000,1700000075017192,0.0,0.0,11.443458280321458,0,array('h'),49.201959824416015,23.818303554799126
1700000076.0,1,1700000076000000,1700000076017419,0.0,0.0,11.370657541426349,0,array('h'),51.637804559531126,23.04617136146765
1700000077.0,1,1700000077000000,1700000077017565,0.0,0.0,11.17894255369541,0,array('h'),53.70363111354783,23.405893591949376
1700000078.0,1,1700000078000000,1700000078018268,0.0,0.0,11.860061315518356,0,array('h'),56.51008304122203,22.174121219118426
1700000079.0,1,1700000079000000,1700000079017966,0.0,0.0,11.710779108182406,0,array('h'),56.95847436334389,22.95505382418517
1700000080.0,1,1700000080000000,1700000080018348,0.0,0.0,11.795444362318408,0,array('h'),59.527013183789265,20.06796069807895
1700000081.0,1,1700000081000000,1700000081018340,0.0,0.0,11.481660185263706,0,array('h'),62.72181225743488,22.925412260620504
1700000082.0,1,1700000082000000,1700000082018803,0.0,0.0,12.15003739217622,0,array('h'),63.32097032176633,22.752643885307357
1700000083.0,1,1700000083000000,1700000083019034,0.0,0.0,11.731403541622415,0,array('h'),65.06311979204179,21.378121724116962
1700000084.0,1,1700000084000000,1700000084019529,0.0,0.0,11.999920418070216,0,array('h'),67.75033768621836,20.631462643585532
1700000085.0,1,1700000085000000,1700000085018821,0.0,0.0,11.926865268068324,0,array('h'),68.30565346117224,21.33314118922215
1700000086.0,1,1700000086000000,1700000086019273,0.0,0.0,12.041435649759768,0,array('h'),72.13649093299497,21.39745676081587
1700000087.0,1,1700000087000000,1700000087019363,0.0,0.0,12.27212883743128,0,array('h'),73.71339187076944,24.248251813596113
1700000088.0,1,1700000088000000,1700000088020136,0.0,0.0,12.133030762928904,0,array('h'),75.65083036625764,22.666248981604454
1700000089.0,1,1700000089000000,1700000089019656,0.0,0.0,12.497107094950586,0,array('h'),76.26567642482799,22.8428170879754
1700000090.0,1,1700000090000000,1700000090020147,0.0,0.0,12.134249502544987,0,array('h'),78.57094598720603,22.648773071901203
1700000091.0,1,1700000091000000,1700000091019948,0.0,0.0,12.321377097354027,0,array('h'),79.96548199506508,23.999980434366005
