t_sim_sec,t_ros_sec,t_ros_ns,rov_id,x_n,y_e,z_d,vx_n,vy_e,vz_d
4.95,1700000004.95,1700000004950000128,1,34.95867102392077,11.112726919829408,12.356190452387388,-0.016690903735039342,0.22438006451741543,0.07187301621103259
4.96,1700000004.96,1700000004960000000,1,34.95850394659838,11.114970707956404,12.356909179984926,-0.016724560556724555,0.2243775583575136,0.07187250277933543
4.97,1700000004.97,1700000004970000128,1,34.95833653270964,11.117214470996558,12.357627902442974,-0.01675821700217739,0.22437504714920564,0.07187198831264396
4.98,1700000004.98,1700000004980000000,1,34.95816878225833,11.119458208899388,12.35834661975118,-0.01679187307033203,0.22437253089249154,0.07187147281095818
4.99,1700000004.99,1700000004990000128,1,34.95800069524823,11.121701921614408,12.359065331899194,-0.016825528760833208,0.2243700095873713,0.07187095627445572
5.0,1700000005.0,1700000005000000000,1,34.95783227168312,11.123945609091136,12.359784038876668,-0.01685918407332565,0.22436748323393374,0.07187043870287013
5.01,1700000005.01,1700000005009999872,1,34.957663511566764,11.126189271279086,12.360502740673251,-0.016892839006033,0.22436495183209004,0.07186992009629023
5.0200000000000005,1700000005.02,1700000005020000000,1,34.957494414902996,11.128432908127778,12.361221437278594,-0.016926493558244715,0.22436241538210666,0.07186940045498247
5.03,1700000005.03,1700000005029999872,1,34.9573249816956,11.130676519586729,12.36194012868235,-0.016960147730316066,0.2243598738840724,0.0718688797786804
5.04,1700000005.04,1700000005040000000,1,34.95715521194839,11.132920105605459,12.362658814874168,-0.016993801520470697,0.22435732733789848,0.07186835806738401
5.05,1700000005.05,1700000005049999872,1,34.95698510566519,11.135163666133487,12.363377495843698,-0.017027454927998065,0.22435477574367368,0.07186783532127095
5.0600000000000005,1700000005.06,1700000005060000000,1,34.95681466284983,11.137407201120332,12.364096171580593,-0.01706110795289817,0.22435221910148684,0.07186731154016357
5.07,1700000005.07,1700000005069999872,1,34.95664388350613,11.139650710515516,12.364814842074502,-0.017094760593749925,0.22434965741124913,0.07186678672423952
5.08,1700000005.08,1700000005080000000,1,34.956472767637955,11.141894194268557,12.365533507315078,-0.017128412849487518,0.224347090673227,0.07186626087349879
5.09,1700000005.09,1700000005089999872,1,34.95630131524914,11.14413765232898,12.366252167291972,-0.01716206472046622,0.22434451888750928,0.07186573398776375
5.1000000000000005,1700000005.1,1700000005100000000,1,34.956129526343545,11.146381084646308,12.366970821994833,-0.017195716205264944,0.2243419420538295,0.07186520606721203
5.11,1700000005.11,1700000005109999872,1,34.95595740092504,11.148624491170057,12.367689471413316,-0.01722936730317315,0.22433936017254297,0.07186467711184363
5.12,1700000005.12,1700000005120000000,1,34.95578493899748,11.150867871849758,12.36840811553707,-0.01726301801312502,0.22433677324373846,0.07186414712156974
5.13,1700000005.13,1700000005130000128,1,34.955612140564774,11.153111226634932,12.369126754355747,-0.017296668334410015,0.22433418126723836,0.07186361609647918
5.14,1700000005.14,1700000005140000000,1,34.955439005630794,11.155354555475103,12.369845387859,-0.017330318267028133,0.2243315842432203,0.07186308403648312
5.15,1700000005.15,1700000005150000128,1,34.955265534199434,11.157597858319797,12.370564016036477,-0.01736396780991356,0.2243289821717731,0.07186255094167038
5.16,1700000005.16,1700000005160000000,1,34.955091726274595,11.159841135118539,12.371282638877833,-0.017397616961645213,0.22432637505289676,0.0718620168122186
5.17,1700000005.17,1700000005170000128,1,34.9549175818602,11.162084385820854,12.372001256372721,-0.017431265721867817,0.2243237628866801,0.07186148164777251
5.18,1700000005.18,1700000005180000000,1,34.95474310096016,11.164327610376272,12.372719868510789,-0.017464914090226102,0.22432114567321193,0.07186094544850974
5.19,1700000005.19,1700000005190000128,1,34.954568283578396,11.166570808734319,12.373438475281691,-0.017498562065298984,0.22431852341249225,0.07186040821451911
5.2,1700000005.2,1700000005200000000,1,34.95439312971885,11.168813980844522,12.374157076675079,-0.01753220964673119,0.2243158961046099,0.07185986994571181
5.21,1700000005.21,1700000005210000128,1,34.95421763938546,11.171057126656411,12.374875672680606,-0.017565856833812177,0.22431326374956484,0.07185933064217664
5.22,1700000005.22,1700000005220000000,1,34.954041812582176,11.173300246119513,12.375594263287923,-0.017599503625831403,0.22431062634753474,0.0718587903038248
5.23,1700000005.23,1700000005230000128,1,34.953865649312945,11.175543339183362,12.376312848486682,-0.017633150021723054,0.2243079838986084,0.07185824893065629
5.24,1700000005.24,1700000005240000000,1,34.95368914958174,11.177786405797486,12.377031428266536,-0.017666796020776587,0.2243053364026082,0.07185770652275991
5.25,1700000005.25,1700000005249999872,1,34.95351231339253,11.180029445911414,12.377750002617137,-0.01770044162228146,0.22430268385971175,0.0718571630802245
5.26,1700000005.26,1700000005260000000,1,34.953335140749296,11.18227245947468,12.37846857152814,-0.01773408682552713,0.2243000262700967,0.0718566186028724
5.2700000000000005,1700000005.27,1700000005269999872,1,34.95315763165602,11.184515446436816,12.379187134989195,-0.017767731630158323,0.22429736363376307,0.07185607309070363
5.28,1700000005.28,1700000005280000000,1,34.95297978611669,11.186758406747355,12.379905692989954,-0.017801376034398686,0.22429469595062201,0.071855526543807
