time,rov_id,t_sent,t_received,x,y,z,channels,rssi,azimuth,elevation
1700000135.0136216,1,1700000135000746,1700000135013622,0.0,0.0,16.199731704856678,0,array('h'),206.9655799498527,46.91833980899898
1700000140.0135436,1,1700000139999992,1700000140013544,0.0,0.0,16.930520915786623,0,array('h'),227.7110405550614,50.74253585010267
1700000145.0136595,1,1700000144999910,1700000145013660,0.0,0.0,17.308594128058903,0,array('h'),249.57155650680338,52.56331821480699
1700000150.0141165,1,1700000150000034,1700000150014116,0.0,0.0,17.271572924191485,0,array('h'),274.335995577826,48.912290902820715
1700000155.015033,1,1700000154999694,1700000155015033,0.0,0.0,17.763613491958733,0,array('h'),299.8718358357848,47.91250677864201
1700000160.0164587,1,1700000159999940,1700000160016459,0.0,0.0,18.22092100584638,0,array('h'),320.5356756625762,44.63977433346064
1700000165.0183656,1,1700000164999879,1700000165018366,0.0,0.0,18.72023014342371,0,array('h'),337.4389825114344,39.95498641069016
1700000170.0206685,1,1700000169999954,1700000170020668,0.0,0.0,19.36003205786304,0,array('h'),352.1410800373527,38.011357138682776
1700000175.0232553,1,1700000174999696,1700000175023255,0.0,0.0,19.74564070000595,0,array('h'),4.815089746444312,32.44711444368121
1700000180.0260077,1,1700000179999710,1700000180026008,0.0,0.0,19.991193446501438,0,array('h'),15.35608792537503,30.76749639305659
1700000185.0271595,1,1700000185000054,1700000185027160,0.0,0.0,19.196277147398824,0,array('h'),25.38493137051958,25.75531298773051
1700000190.0281432,1,1700000190000241,1700000190028143,0.0,0.0,18.897818117311477,0,array('h'),33.70116155307504,25.41275904635547
1700000195.0289724,1,1700000194999750,1700000195028972,0.0,0.0,18.009925689893922,0,array('h'),43.43595009412973,20.931703227774086
1700000200.0296667,1,1700000200000055,1700000200029667,0.0,0.0,17.316884550129377,0,array('h'),54.64188847118276,21.15153352952906
1700000205.030245,1,1700000205000677,1700000205030245,0.0,0.0,16.670389486626345,0,array('h'),63.725685419502035,20.951785004914854
1700000210.0307226,1,1700000209999652,1700000210030722,0.0,0.0,16.439752434828268,0,array('h'),73.51705424485657,19.468495454890597
1700000215.0311074,1,1700000214999698,1700000215031108,0.0,0.0,15.531808819169326,0,array('h'),83.69772315598564,17.6576562750574
1700000220.0313985,1,1700000220000108,1700000220031398,0.0,0.0,14.603987040746034,0,array('h'),95.36949755187915,17.020046415636017
1700000225.0315845,1,1700000224999738,1700000225031584,0.0,0.0,14.065460063150722,0,array('h'),104.8514683042987,15.83890791145686
1700000230.0316453,1,1700000230000176,1700000230031645,0.0,0.0,13.227341668923431,0,array('h'),114.88792979915088,15.067054355846603
1700000235.031552,1,1700000235000186,1700000235031552,0.0,0.0,12.455238972356574,0,array('h'),124.09323890257943,13.369801590312596
1700000240.0312705,1,1700000239999924,1700000240031270,0.0,0.0,12.079775846496819,0,array('h'),132.60639538143528,13.586606082714898
1700000245.0301197,1,1700000245000432,1700000245030120,0.0,0.0,11.662185191891128,0,array('h'),144.09380381264936,14.254547971724103
1700000250.029012,1,1700000250000378,1700000250029012,0.0,0.0,10.789566065662843,0,array('h'),154.90942859221292,13.536232012702758
1700000255.0279472,1,1700000255000204,1700000255027947,0.0,0.0,10.21329081006714,0,array('h'),166.17700114692036,14.399047298007142
1700000260.0269017,1,1700000259999738,1700000260026902,0.0,0.0,9.815778581017547,0,array('h'),176.09414293281034,11.540028179573085
1700000265.0258336,1,1700000265000196,1700000265025834,0.0,0.0,8.565277591876571,0,array('h'),185.54028544039522,11.580991206057488
1700000270.0246875,1,1700000269999846,1700000270024688,0.0,0.0,8.522826144215337,0,array('h'),196.02443643483596,13.053878418425555
1700000275.023402,1,1700000274999266,1700000275023402,0.0,0.0,7.943542137907446,0,array('h'),204.07487591000097,10.029616202277882
1700000280.0219173,1,1700000279999832,1700000280021917,0.0,0.0,6.944364154070611,0,array('h'),213.6217741026529,11.29662027636575
1700000285.020184,1,1700000284999822,1700000285020184,0.0,0.0,7.12316368587614,0,array('h'),220.55366140016855,9.973169662424935
1700000290.01817,1,1700000290000258,1700000290018170,0.0,0.0,6.550845702489178,0,array('h'),228.62357801552463,10.541577870637273
1700000295.015871,1,1700000294999800,1700000295015871,0.0,0.0,5.457644390694936,0,array('h'),232.64906476261308,10.919898104700046
