estimator,experiment,scenario,platform,sigma_a,tdma_interval,init_range_scale,rmse,ate,final_error,mean_nees,converged
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,30.0,1,1.8108262583302788,1.8108262583302788,1.2088340094921852,3.03939800273653,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,30.0,1,1.3586824146304797,1.3586824146304797,1.6756869699590604,3.11632793979369,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,30.0,1,1.8104989243903664,1.8104989243903664,1.2559238431463666,3.0418879301720287,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,60.0,1,22.220703607759784,22.220703607759784,3.3656537781576805,9.799559863303942,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,60.0,1,1.822511006981934,1.822511006981934,1.324433363990382,3.037730134221165,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,60.0,1,1.0648224737636989,1.0648224737636989,1.623794246391539,4.688288308987364,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,60.0,1,1.7319806360195709,1.7319806360195709,0.7627834974486768,3.047409063497794,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,60.0,1,1.0342055027062198,1.0342055027062198,2.0607541756366667,3.5172410900842954,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,60.0,1,1.8263257214545432,1.8263257214545432,1.3512583828428433,3.0307753669106003,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,120.0,1,24.644571655766548,24.644571655766548,13.38994539681292,3013.934749382152,False
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,120.0,1,1.7629817392412073,1.7629817392412073,1.7480132513951,3.069418353562499,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,120.0,1,3.183176015719539,3.183176015719539,1.5774775704807726,76.21157687585332,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,120.0,1,1.8081231041900965,1.8081231041900965,1.186207590018241,3.0378059039486396,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,120.0,1,3.245672374842745,3.245672374842745,1.498962694504883,91.69710793139777,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,120.0,1,1.806622002374913,1.806622002374913,1.107489061457283,3.0481967943836343,True
