t_sim_sec,t_ros_sec,t_ros_ns,rov_id,x_n,y_e,z_d,vx_n,vy_e,vz_d
62.25,1700000062.25,1700000062249999872,1,200.0,69.02946745471408,11.097053254528593,0.0,-0.49751859510499463,0.049751859510499465
62.26,1700000062.26,1700000062260000000,1,200.0,69.02449226876303,11.097550773123697,0.0,-0.49751859510499463,0.049751859510499465
62.27,1700000062.27,1700000062269999872,1,200.0,69.01951708281199,11.098048291718802,0.0,-0.49751859510499463,0.049751859510499465
62.28,1700000062.28,1700000062280000000,1,200.0,69.01454189686093,11.098545810313906,0.0,-0.49751859510499463,0.049751859510499465
62.29,1700000062.29,1700000062289999872,1,200.0,69.00956671090988,11.099043328909012,0.0,-0.49751859510499463,0.049751859510499465
62.300000000000004,1700000062.3,1700000062300000000,1,200.0,69.00459152495884,11.099540847504116,0.0,-0.49751859510499463,0.049751859510499465
62.31,1700000062.31,1700000062309999872,1,200.0,68.99961633900779,11.100038366099222,0.0,-0.49751859510499463,0.049751859510499465
62.32,1700000062.32,1700000062320000000,1,200.0,68.99464115305673,11.100535884694327,0.0,-0.49751859510499463,0.049751859510499465
62.33,1700000062.33,1700000062329999872,1,200.0,68.98966596710568,11.101033403289431,0.0,-0.49751859510499463,0.049751859510499465
62.34,1700000062.34,1700000062340000000,1,200.0,68.98469078115463,11.101530921884537,0.0,-0.49751859510499463,0.049751859510499465
62.35,1700000062.35,1700000062349999872,1,200.0,68.97971559520359,11.102028440479643,0.0,-0.49751859510499463,0.049751859510499465
62.36,1700000062.36,1700000062360000000,1,200.0,68.97474040925253,11.102525959074747,0.0,-0.49751859510499463,0.049751859510499465
62.370000000000005,1700000062.37,1700000062369999872,1,200.0,68.96976522330148,11.103023477669852,0.0,-0.49751859510499463,0.049751859510499465
62.38,1700000062.38,1700000062380000000,1,200.0,68.96479003735044,11.103520996264956,0.0,-0.49751859510499463,0.049751859510499465
62.39,1700000062.39,1700000062390000128,1,200.0,68.95981485139939,11.104018514860062,0.0,-0.49751859510499463,0.049751859510499465
62.4,1700000062.4,1700000062400000000,1,200.0,68.95483966544833,11.104516033455166,0.0,-0.49751859510499463,0.049751859510499465
62.410000000000004,1700000062.41,1700000062410000128,1,200.0,68.94986447949728,11.105013552050272,0.0,-0.49751859510499463,0.049751859510499465
62.42,1700000062.42,1700000062420000000,1,200.0,68.94488929354623,11.105511070645377,0.0,-0.49751859510499463,0.049751859510499465
62.43,1700000062.43,1700000062430000128,1,200.0,68.93991410759519,11.106008589240481,0.0,-0.49751859510499463,0.049751859510499465
62.440000000000005,1700000062.44,1700000062440000000,1,200.0,68.93493892164413,11.106506107835587,0.0,-0.49751859510499463,0.049751859510499465
62.45,1700000062.45,1700000062450000128,1,200.0,68.92996373569308,11.107003626430691,0.0,-0.49751859510499463,0.049751859510499465
62.46,1700000062.46,1700000062460000000,1,200.0,68.92498854974204,11.107501145025797,0.0,-0.49751859510499463,0.049751859510499465
62.47,1700000062.47,1700000062470000128,1,200.0,68.92001336379099,11.1079986636209,0.0,-0.49751859510499463,0.049751859510499465
62.480000000000004,1700000062.48,1700000062480000000,1,200.0,68.91503817783993,11.108496182216006,0.0,-0.49751859510499463,0.049751859510499465
62.49,1700000062.49,1700000062490000128,1,200.0,68.91006299188888,11.108993700811112,0.0,-0.49751859510499463,0.049751859510499465
62.5,1700000062.5,1700000062500000000,1,200.0,68.90508780593784,11.109491219406216,0.0,-0.49751859510499463,0.049751859510499465
62.51,1700000062.51,1700000062509999872,1,200.0,68.90011261998679,11.109988738001322,0.0,-0.49751859510499463,0.049751859510499465
62.52,1700000062.52,1700000062520000000,1,200.0,68.89513743403573,11.110486256596428,0.0,-0.49751859510499463,0.049751859510499465
62.53,1700000062.53,1700000062529999872,1,200.0,68.89016224808469,11.110983775191531,0.0,-0.49751859510499463,0.049751859510499465
62.54,1700000062.54,1700000062540000000,1,200.0,68.88518706213364,11.111481293786635,0.0,-0.49751859510499463,0.049751859510499465
62.550000000000004,1700000062.55,1700000062549999872,1,200.0,68.88021187618259,11.111978812381741,0.0,-0.49751859510499463,0.049751859510499465
62.56,1700000062.56,1700000062560000000,1,200.0,68.87523669023153,11.112476330976847,0.0,-0.49751859510499463,0.049751859510499465
62.57,1700000062.57,1700000062569999872,1,200.0,68.87026150428048,11.11297384957195,0.0,-0.49751859510499463,0.049751859510499465
62.58,1700000062.58,1700000062580000000,1,200.0,68.86528631832944,11.113471368167056,0.0,-0.49751859510499463,0.049751859510499465
62.59,1700000062.59,1700000062589999872,1,200.0,68.86031113237838,11.113968886762162,0.0,-0.49751859510499463,0.049751859510499465
62.6,1700000062.6,1700000062600000000,1,200.0,68.85533594642733,11.114466405357266,0.0,-0.49751859510499463,0.049751859510499465
62.61,1700000062.61,1700000062609999872,1,200.0,68.85036076047629,11.114963923952372,0.0,-0.49751859510499463,0.049751859510499465
62.620000000000005,1700000062.62,1700000062620000000,1,200.0,68.84538557452524,11.115461442547478,0.0,-0.49751859510499463,0.049751859510499465
62.63,1700000062.63,1700000062630000128,1,200.0,68.84041038857418,11.115958961142582,0.0,-0.49751859510499463,0.049751859510499465
62.64,1700000062.64,1700000062640000000,1,200.0,68.83543520262313,11.116456479737685,0.0,-0.49751859510499463,0.049751859510499465
62.65,1700000062.65,1700000062650000128,1,200.0,68.83046001667209,11.116953998332791,0.0,-0.49751859510499463,0.049751859510499465
62.660000000000004,1700000062.66,1700000062660000000,1,200.0,68.82548483072104,11.117451516927897,0.0,-0.49751859510499463,0.049751859510499465
62.67,1700000062.67,1700000062670000128,1,200.0,68.82050964476998,11.117949035523,0.0,-0.49751859510499463,0.049751859510499465
62.68,1700000062.68,1700000062680000000,1,200.0,68.81553445881895,11.118446554118107,0.0,-0.49751859510499463,0.049751859510499465
62.690000000000005,1700000062.69,1700000062690000128,1,200.0,68.81055927286789,11.118944072713212,0.0,-0.49751859510499463,0.049751859510499465
62.7,1700000062.7,1700000062700000000,1,200.0,68.80558408691684,11.119441591308316,0.0,-0.49751859510499463,0.049751859510499465
62.71,1700000062.71,1700000062710000128,1,200.0,68.80060890096578,11.119939109903422,0.0,-0.49751859510499463,0.049751859510499465
62.72,1700000062.72,1700000062720000000,1,200.0,68.79563371501473,11.120436628498526,0.0,-0.49751859510499463,0.049751859510499465
62.730000000000004,1700000062.73,1700000062730000128,1,200.0,68.79065852906368,11.120934147093632,0.0,-0.49751859510499463,0.049751859510499465
62.74,1700000062.74,1700000062740000000,1,200.0,68.78568334311264,11.121431665688736,0.0,-0.49751859510499463,0.049751859510499465
62.75,1700000062.75,1700000062750000128,1,200.0,68.78070815716158,11.121929184283841,0.0,-0.49751859510499463,0.049751859510499465
62.76,1700000062.76,1700000062760000000,1,200.0,68.77573297121054,11.122426702878947,0.0,-0.49751859510499463,0.049751859510499465
62.77,1700000062.77,1700000062769999872,1,200.0,68.77075778525949,11.122924221474051,0.0,-0.49751859510499463,0.049751859510499465
62.78,1700000062.78,1700000062780000000,1,200.0,68.76578259930844,11.123421740069157,0.0,-0.49751859510499463,0.049751859510499465
62.79,1700000062.79,1700000062789999872,1,200.0,68.76080741335738,11.123919258664262,0.0,-0.49751859510499463,0.049751859510499465
62.800000000000004,1700000062.8,1700000062800000000,1,200.0,68.75583222740633,11.124416777259366,0.0,-0.49751859510499463,0.049751859510499465
62.81,1700000062.81,1700000062809999872,1,200.0,68.75085704145529,11.124914295854472,0.0,-0.49751859510499463,0.049751859510499465
62.82,1700000062.82,1700000062820000000,1,200.0,68.74588185550424,11.125411814449576,0.0,-0.49751859510499463,0.049751859510499465
